week_ending,year,serial_no,ortho_dust_offer_qty,ortho_dust_sold_qty,ortho_dust_avg_price
10-Sep-16,2016,36,15837.0,13935.0,90.1
17-Sep-16,2016,37,15906.33,11609.67,92.07
24-Sep-16,2016,38,19314.0,17780.0,92.43
1-Oct-16,2016,39,16068.0,9412.0,95.61
8-Oct-16,2016,40,17406.0,16910.0,93.68
15-Oct-16,2016,41,13094.0,10614.0,90.96
22-Oct-16,2016,42,4920.0,3752.0,97.82
29-Oct-16,2016,43,14088.0,11874.0,92.74
5-Nov-16,2016,44,7522.0,7351.0,94.52
12-Nov-16,2016,45,14154.0,13047.0,96.54
19-Nov-16,2016,46,8736.0,8736.0,95.05
26-Nov-16,2016,47,9931.0,9931.0,97.91
3-Dec-16,2016,48,16860.0,16464.0,97.13
10-Dec-16,2016,49,9898.0,6800.0,92.63
17-Dec-16,2016,50,16184.0,12658.0,97.53
24-Dec-16,2016,51,15206.0,14362.0,95.33
31-Dec-16,2016,52,13762.67,11273.33,95.16
7-Jan-17,2017,1,30831.0,25697.0,95.89
14-Jan-17,2017,2,21458.0,19759.0,95.51
21-Jan-17,2017,3,14943.0,13359.0,97.59
28-Jan-17,2017,4,15991.0,9849.0,95.81
4-Feb-17,2017,5,16417.0,16417.0,100.47
11-Feb-17,2017,6,10696.0,7540.0,98.28
18-Feb-17,2017,7,3854.0,3438.0,107.1
25-Feb-17,2017,8,10549.0,9090.0,97.62
4-Mar-17,2017,9,5309.0,4773.0,103.82
11-Mar-17,2017,10,6262.0,5074.0,103.84
18-Mar-17,2017,11,9889.0,9889.0,96.44
25-Mar-17,2017,12,6215.0,6044.0,100.86
1-Apr-17,2017,13,10269.0,9302.0,96.91
8-Apr-17,2017,14,3743.0,3572.0,105.0
15-Apr-17,2017,15,6742.33,6306.0,100.92
22-Apr-17,2017,16,1764.0,1764.0,114.0
29-Apr-17,2017,17,2276.0,2276.0,102.12
6-May-17,2017,18,5000.0,5000.0,103.75
13-May-17,2017,19,7236.0,6790.0,102.66
20-May-17,2017,20,6915.0,6915.0,104.17
27-May-17,2017,21,7905.0,7509.0,97.21
3-Jun-17,2017,22,8845.0,8624.0,92.37
10-Jun-17,2017,23,10658.0,6944.0,94.03
17-Jun-17,2017,24,15548.0,12892.0,91.53
24-Jun-17,2017,25,11678.0,9897.0,92.99
1-Jul-17,2017,26,15121.0,11846.0,83.01
8-Jul-17,2017,27,14603.0,14603.0,85.11
15-Jul-17,2017,28,11390.0,11390.0,94.72
22-Jul-17,2017,29,16388.0,13872.0,92.9
29-Jul-17,2017,30,15402.0,11454.0,90.91
5-Aug-17,2017,31,11021.0,10374.0,93.27
12-Aug-17,2017,32,12680.0,12680.0,89.8
19-Aug-17,2017,33,8892.0,5850.0,92.96
26-Aug-17,2017,34,17928.0,16900.0,92.28
2-Sep-17,2017,35,14997.0,12720.0,86.62
9-Sep-17,2017,36,13939.0,11823.33,90.62
16-Sep-17,2017,37,17277.0,14256.0,85.79
23-Sep-17,2017,38,18202.0,11774.0,77.11
30-Sep-17,2017,39,22785.0,16458.0,77.7
7-Oct-17,2017,40,11106.0,6990.0,74.49
14-Oct-17,2017,41,10546.0,9508.0,80.76
21-Oct-17,2017,42,10407.0,5325.0,74.14
28-Oct-17,2017,43,18356.0,12844.0,73.62
4-Nov-17,2017,44,6773.0,3204.0,81.64
11-Nov-17,2017,45,8078.0,6180.0,76.07
18-Nov-17,2017,46,11277.0,8764.0,78.93
25-Nov-17,2017,47,8628.0,3477.0,73.79
2-Dec-17,2017,48,13136.0,12048.0,77.24
9-Dec-17,2017,49,10747.0,10226.0,81.71
16-Dec-17,2017,50,7245.0,7245.0,82.07
23-Dec-17,2017,51,7916.0,7745.0,83.26
30-Dec-17,2017,52,8636.0,8405.33,82.34
6-Jan-18,2018,1,14218.0,9284.0,84.95
13-Jan-18,2018,2,12933.0,5650.0,81.07
20-Jan-18,2018,3,10131.0,7027.0,79.29
27-Jan-18,2018,4,8182.0,4506.0,70.96
3-Feb-18,2018,5,5588.0,5101.0,79.66
10-Feb-18,2018,6,11202.0,5683.0,80.05
17-Feb-18,2018,7,4294.0,3306.0,84.39
24-Feb-18,2018,8,11629.0,9274.0,83.9
3-Mar-18,2018,9,3371.0,3371.0,80.53
10-Mar-18,2018,10,7924.0,4920.0,87.47
17-Mar-18,2018,11,10633.0,8517.0,90.89
24-Mar-18,2018,12,6296.0,6296.0,95.75
31-Mar-18,2018,13,8284.33,6577.67,91.37
